"","lon","lat","bathy"
"655",-123.248503,46.099675,15
"656",-123.215589,46.114814,15
"657",-123.182653,46.129944,15
"658",-123.149694,46.145066,15
"659",-123.116714,46.16018,15
"660",-123.08371,46.175285,15
"661",-123.050683,46.190382,15
"662",-123.017633,46.205472,15
"663",-122.98456,46.220552,15
"664",-122.951463,46.235624,15
"665",-122.918344,46.250688,15
"666",-122.885201,46.265745,15
"667",-122.852034,46.280793,15
"668",-122.818844,46.295833,15
"669",-122.78563,46.310865,15
"670",-122.752392,46.325889,15
"671",-122.719131,46.340905,15
"672",-122.685845,46.355914,15
"673",-122.652536,46.370913,15
"674",-122.619201,46.385906,15
"675",-122.585843,46.400892,15
"676",-122.552459,46.415868,15
"677",-122.519052,46.430838,15
"678",-122.485619,46.4458,15
"679",-122.452162,46.460755,15
"680",-122.418679,46.475702,15
"681",-122.385172,46.49064,15
"682",-122.351638,46.505573,15
"683",-122.318079,46.520498,15
"684",-122.284495,46.535416,15
"685",-122.250885,46.550326,15
"686",-122.217249,46.56523,15
"687",-122.183586,46.580126,15
"688",-122.149898,46.595017,15
"689",-122.116182,46.6099,15
"690",-122.08244,46.624776,15
"691",-122.048671,46.639646,15
"692",-122.014875,46.654509,15
"693",-121.98105,46.669367,15
"694",-121.9472,46.684218,15
"695",-121.91332,46.699062,15
"696",-121.879413,46.713901,15
"697",-121.845477,46.728735,15
"698",-121.811513,46.743562,15
"699",-121.777519,46.758385,15
"700",-121.743497,46.773202,15
"701",-121.709445,46.788014,15
"702",-121.675363,46.802821,15
"703",-121.64125,46.817624,15
"704",-121.607107,46.832422,15
"705",-121.572933,46.847217,15
"706",-121.538727,46.862008,15
"707",-121.50449,46.876796,15
"708",-121.470221,46.891581,15
"709",-121.435918,46.906362,15
"710",-121.401583,46.921143,15
"711",-121.367213,46.935921,15
"712",-121.332809,46.950698,15
"713",-121.29837,46.965476,15
"714",-121.263895,46.980254,15
"715",-121.229384,46.995033,15
"716",-121.194836,47.009814,15
"717",-121.16025,47.024598,15
"718",-121.125624,47.039387,15
"719",-121.090959,47.054181,15
"720",-121.056255,47.068984,15
"721",-121.021509,47.083796,15
"722",-120.986722,47.09862,15
"723",-120.951893,47.113459,15
"724",-120.917022,47.128317,15
"725",-120.88211,47.143197,15
"726",-120.847159,47.158105,15
"727",-120.812174,47.173047,15
"728",-120.777162,47.188029,15
"729",-120.742133,47.203056,15
"730",-120.707106,47.218133,15
"731",-125.523198,45.040919,2518.530029
"732",-125.491687,45.05669,2465.530029
"733",-125.460158,45.072451,2392.26001
"734",-125.428612,45.088204,2307.689941
"735",-125.397049,45.103947,2219.409912
"736",-125.365466,45.11968,2128.51001
"737",-125.333867,45.135404,2034.839966
"738",-125.30225,45.151119,1937.290039
"739",-125.270613,45.166825,1832.670044
"740",-125.238959,45.182522,1714.869995
"741",-125.207287,45.198208,1580.310059
"742",-125.175595,45.213886,1435.390015
"743",-125.143886,45.229555,1289.060059
"744",-125.112158,45.245214,1148.319946
"745",-125.080411,45.260864,1019.320007
"746",-125.048646,45.276505,907.659973
"747",-125.016862,45.292137,817.650024
"748",-124.985059,45.30776,753.75
"749",-124.953236,45.323373,715.130005
"750",-124.921395,45.338978,691.530029
"751",-124.889535,45.354573,675.72998
"752",-124.857656,45.370159,664.5
"753",-124.825758,45.385736,655.570007
"754",-124.793839,45.401304,645.02002
"755",-124.761902,45.416863,628.130005
"756",-124.729946,45.432414,600.830017
"757",-124.69797,45.447954,561.280029
"758",-124.665975,45.463486,510.089996
"759",-124.633959,45.479009,451.850006
"760",-124.601925,45.494523,392.089996
"761",-124.56987,45.510027,337.029999
"762",-124.537796,45.525523,293.410004
"763",-124.505701,45.54101,260.220001
"764",-124.473587,45.556488,233.149994
"765",-124.441453,45.571957,209.559998
"766",-124.4093,45.587416,191.660004
"767",-124.377125,45.602868,179.220001
"768",-124.344931,45.61831,168.820007
"769",-124.312716,45.633744,158.639999
"770",-124.280482,45.649168,147.979996
"771",-124.248226,45.664583,135.770004
"772",-124.21595,45.67999,123.730003
"773",-124.183655,45.695388,112.32
"774",-124.151338,45.710776,104.389999
"775",-124.119001,45.726156,105.599998
"776",-124.086642,45.741528,111.359993
"777",-124.054264,45.756891,89.993301
"778",-124.021864,45.772243,65.348305
"779",-123.989444,45.787588,49.912884
"780",-123.957004,45.802925,15
"781",-123.924541,45.818252,15
"782",-123.892058,45.833571,15
"783",-123.859554,45.848882,15
"784",-123.827028,45.864183,15
"785",-123.794482,45.879475,15
"786",-123.761914,45.894759,15
"787",-123.729325,45.910035,15
"788",-123.696714,45.925301,15
"789",-123.664082,45.940559,15
"790",-123.631428,45.955809,15
"791",-123.598752,45.971049,15
"792",-123.566055,45.986282,15
"793",-123.533336,46.001505,15
"794",-123.500595,46.01672,15
"795",-123.467833,46.031927,15
"796",-123.435048,46.047125,15
"797",-123.402242,46.062315,15
"798",-123.369412,46.077496,15
"799",-123.336561,46.092669,15
"800",-123.303688,46.107834,15
"801",-123.270791,46.12299,15
"802",-123.237873,46.138138,15
"803",-123.204933,46.153277,15
"804",-123.171969,46.168408,15
"805",-123.138983,46.183531,15
"806",-123.105974,46.198645,15
"807",-123.072942,46.213752,15
"808",-123.039888,46.22885,15
"809",-123.006809,46.24394,15
"810",-122.973708,46.259022,15
"811",-122.940584,46.274096,15
"812",-122.907436,46.289162,15
"813",-122.874265,46.304219,15
